Ñòîëáåö1;Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9;Column10;Column11;Column12;Column13;Column14;Column15;Column16;Column17;Column18;Column19;Column20;Column21;Column22;Column23;Column24;Column25;Column26;Column27;Column28;Column29;Column30;Column31;Column32;Column33;Column34;Column35;Column36;Column37;Column38;Column39;Column40;Column41;Column42;Column43;Column44;Column45;Column46;Column47;Column48;Column49;Column50;Column51;Column52
Country;Criminalization of sex work;Profiting from organizing and/or managing sexual services is criminalized;Profiting from organizing and/or managing sexual services is criminalized;Profiting from organizing and/or managing sexual services is criminalized;Profiting from organizing and/or managing sexual services is criminalized;Profiting from organizing and/or managing sexual services is criminalized;Selling and buying sexual services is criminalized**;Selling and buying sexual services is criminalized**;Selling and buying sexual services is criminalized**;Selling and buying sexual services is criminalized**;Selling and buying sexual services is criminalized**;Selling sexual services is criminalized;Selling sexual services is criminalized;Selling sexual services is criminalized;Selling sexual services is criminalized;Selling sexual services is criminalized;Buying sexual services is criminalized;Buying sexual services is criminalized;Buying sexual services is criminalized;Buying sexual services is criminalized;Buying sexual services is criminalized;Partial criminalization of sex work**;Partial criminalization of sex work**;Partial criminalization of sex work**;Partial criminalization of sex work**;Partial criminalization of sex work**;Ancillary activities associated with selling sexual services are criminalized;Ancillary activities associated with selling sexual services are criminalized;Ancillary activities associated with selling sexual services are criminalized;Ancillary activities associated with selling sexual services are criminalized;Ancillary activities associated with selling sexual services are criminalized;Ancillary activities associated with buying sexual services are criminalized;Ancillary activities associated with buying sexual services are criminalized;Ancillary activities associated with buying sexual services are criminalized;Ancillary activities associated with buying sexual services are criminalized;Ancillary activities associated with buying sexual services are criminalized;Other punitive and/or administrative regulation of sex work;Other punitive and/or administrative regulation of sex work;Other punitive and/or administrative regulation of sex work;Other punitive and/or administrative regulation of sex work;Other punitive and/or administrative regulation of sex work;Sex work is not subject to punitive regulations and is not criminalized;Sex work is not subject to punitive regulations and is not criminalized;Sex work is not subject to punitive regulations and is not criminalized;Sex work is not subject to punitive regulations and is not criminalized;Sex work is not subject to punitive regulations and is not criminalized;Issue is determined/differs at subnational level**;Issue is determined/differs at subnational level**;Issue is determined/differs at subnational level**;Issue is determined/differs at subnational level**;Issue is determined/differs at subnational level**
year;;2017;2018;2019;2021;2022;2017;2018;2019;2021;2022;2017;2018;2019;2021;2022;2017;2018;2019;2021;2022;2017;2018;2019;2021;2022;2017;2018;2019;2021;2022;2017;2018;2019;2021;2022;2017;2018;2019;2021;2022;2017;2018;2019;2021;2022;2017;2018;2019;2021;2022
Afghanistan;Yes [UNAIDS National Commitments and Policy Instrument 2022];;;Yes [UNAIDS National Commitments and Policy Instrument 2019];;Yes [UNAIDS National Commitments and Policy Instrument 2022];Yes [UNAIDS National Commitments and Policy Instrument 2017];;;;;;;Yes [UNAIDS National Commitments and Policy Instrument 2019];Yes [UNAIDS National Commitments and Policy Instrument 2021];Yes [UNAIDS National Commitments and Policy Instrument 2022];;;Yes [UNAIDS National Commitments and Policy Instrument 2019];Yes [UNAIDS National Commitments and Policy Instrument 2021];Yes [UNAIDS National Commitments and Policy Instrument 2022];;;;;;;;Yes [UNAIDS National Commitments and Policy Instrument 2019];Yes [UNAIDS National Commitments and Policy Instrument 2021];Yes [UNAIDS National Commitments and Policy Instrument 2022];;;Yes [UNAIDS National Commitments and Policy Instrument 2019];;Yes [UNAIDS National Commitments and Policy Instrument 2022];;;Yes [UNAIDS National Commitments and Policy Instrument 2019];Yes [UNAIDS National Commitments and Policy Instrument 2021];Yes [UNAIDS National Commitments and Policy Instrument 2022];;;;;;;;;;
Albania;Yes [UNAIDS National Commitments and Policy Instrument 2022];;;Yes [UNAIDS National Commitments and Policy Instrument 2019];Yes [UNAIDS National Commitments and Policy Instrument 2021];Yes [UNAIDS National Commitments and Policy Instrument 2022];Yes [UNAIDS National Commitments and Policy Instrument 2017];;;;;;;Yes [UNAIDS National Commitments and Policy Instrument 2019];Yes [UNAIDS National Commitments and Policy Instrument 2021];Yes [UNAIDS National Commitments and Policy Instrument 2022];;;Yes [UNAIDS National Commitments and Policy Instrument 2019];Yes [UNAIDS National Commitments and Policy Instrument 2021];Yes [UNAIDS National Commitments and Policy Instrument 2022];;;;;;;;Yes [UNAIDS National Commitments and Policy Instrument 2019];Yes [UNAIDS National Commitments and Policy Instrument 2021];Yes [UNAIDS National Commitments and Policy Instrument 2022];;;Yes [UNAIDS National Commitments and Policy Instrument 2019];Yes [UNAIDS National Commitments and Policy Instrument 2021];Yes [UNAIDS National Commitments and Policy Instrument 2022];;;;;;;;;;;;;;;
Algeria;Yes [Algeria. Penal Code, Article 343 (https://www.wipo.int/edocs/lexdocs/laws/fr/dz/dz020fr.pdf). ];;;;;Yes [Algeria. Penal Code, Article 343 (https://www.wipo.int/edocs/lexdocs/laws/fr/dz/dz020fr.pdf). ];;;;;;;;;;;Yes [UNAIDS National Commitments and Policy Instrument 2017];;;;;;;;;;;;;Yes [Algeria. Penal Code, Article 343 (https://www.wipo.int/edocs/lexdocs/laws/fr/dz/dz020fr.pdf). ];Yes [Algeria. Penal Code, Article 343 (https://www.wipo.int/edocs/lexdocs/laws/fr/dz/dz020fr.pdf). ];;;;;;;;;;;;;;;;;;;;
Andorra;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Angola;No [Angola. Codigo Penal. I S?rie, Number 179. 11 Nov 2020 (https://gazettes.africa/archive/ao/2020/ao-government-gazette-dated-2020-11-11-no-179.pdf).];;;;Yes [Angola. Codigo Penal. Article 189 (https://governo.gov.ao/fotos/frontend_1/gov_documentos/novo_codigo_penal_905151145fad02b10cd11.pdf).];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Yes [Angola. Codigo Penal. I S?rie, Number 179. 11 Nov 2020 (https://gazettes.africa/archive/ao/2020/ao-government-gazette-dated-2020-11-11-no-179.pdf).];;;;;
Antigua and Barbuda;Yes [Antigua and Barbuda. The Sexual Offences Act, 1995 (https://www.ilo.org/dyn/natlex/docs/ELECTRONIC/42538/79312/F1146620290/ATG42538.pdf)];;;Yes [Antigua and Barbuda, The Sexual Offences Act, 1995 (https://www.ilo.org/dyn/natlex/docs/ELECTRONIC/42538/79312/F1146620290/ATG42538.pdf)];;Yes [Antigua and Barbuda, The Sexual Offences Act, 1995 (https://www.ilo.org/dyn/natlex/docs/ELECTRONIC/42538/79312/F1146620290/ATG42538.pdf)];;;;;;Yes [UNAIDS National Commitments and Policy Instrument 2017];;;;Yes [Antigua and Barbuda, The Sexual Offences Act, 1995 (https://www.ilo.org/dyn/natlex/docs/ELECTRONIC/42538/79312/F1146620290/ATG42538.pdf)];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Argentina;No [UNAIDS National Commitments and Policy Instrument 2022];;;Yes [UNAIDS National Commitments and Policy Instrument 2019];;;;;;;;;;;;;;;;;;;;;;;;;Yes [UNAIDS National Commitments and Policy Instrument 2019];;;;;;;;Yes [UNAIDS National Commitments and Policy Instrument 2017];;;Yes [UNAIDS National Commitments and Policy Instrument 2021];Yes [UNAIDS National Commitments and Policy Instrument 2022];;;Yes [UNAIDS National Commitments and Policy Instrument 2019];;;;;Yes [UNAIDS National Commitments and Policy Instrument 2019];Yes [UNAIDS National Commitments and Policy Instrument 2021];
Armenia;Yes [UNAIDS National Commitments and Policy Instrument 2022];;;Yes [UNAIDS National Commitments and Policy Instrument 2019];;Yes [UNAIDS National Commitments and Policy Instrument 2022];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Yes [UNAIDS National Commitments and Policy Instrument 2017];;Yes [UNAIDS National Commitments and Policy Instrument 2019];Yes [UNAIDS National Commitments and Policy Instrument 2021];Yes [UNAIDS National Commitments and Policy Instrument 2022];;;;;;;;;;
